# Fuente: Google Search Console, propiedad de dominio sc-domain:celebios.com
# Capturado: 2026-08-02 21:30 (America/Mexico_City) desde la UI, pestanas CONSULTAS y PAGINAS.
# Rango solicitado en la UI: 16 meses. Rango REAL devuelto por Google: 1-ago-2026 a 1-ago-2026 (un dia).
# La propiedad se verifico el 2026-08-01 ~19:11; Google NO hizo backfill historico.
# Totales del periodo: 2 clics, 23 impresiones, CTR 8,7 %, posicion media 9,8.
dimension,valor,clics,impresiones
consulta,celebios,1,1
consulta,paulina alejandra,0,3
consulta,rubén saavedra,0,1
pagina,https://www.celebios.com/,1,1
pagina,https://www.celebios.com/campos-manzanares-2016,1,1
pagina,https://www.celebios.com/manejo-conductual-fauna,0,4
pagina,https://www.celebios.com/rehabilitacion-fauna-2025,0,3
pagina,https://www.celebios.com/paulinaachavezcontreras,0,3
pagina,https://www.celebios.com/rehabilitacion,0,2
pagina,https://www.celebios.com/imagenologia-caballos-2020,0,2
pagina,https://www.celebios.com/melesio-navarro-2017,0,1
pagina,https://www.celebios.com/nosotros,0,1
pagina,https://www.celebios.com/jesusan-mauricio-pisco,0,1
pagina,https://www.celebios.com/carlososcarparraguirrediaz,0,1
pagina,https://www.celebios.com/rehabilitacion-fauna-2024,0,1
pagina,https://www.celebios.com/brisa-perez-castelazo,0,1
pagina,https://www.celebios.com/euniceguzmanescalante,0,1
pagina,https://www.celebios.com/alexandraelizabethlaraperez,0,1
pagina,https://www.celebios.com/rubensaavedraperez,0,1
pagina,https://www.celebios.com/gen2018felidos,0,1
