source_url,page_views,site_sessions,unique_visitors,period_start,period_end,inventory_match
https://www.celebios.com,1004,870,642,2025-08-02,2026-08-02,true
https://www.celebios.com/cursos,457,390,322,2025-08-02,2026-08-02,true
https://www.celebios.com/rehabilitacion-fauna-2025,326,290,229,2025-08-02,2026-08-02,true
https://www.celebios.com/aula-virtual,322,285,107,2025-08-02,2026-08-02,true
https://www.celebios.com/rehabilitacion-fauna-2024,160,150,118,2025-08-02,2026-08-02,true
https://www.celebios.com/manejo-conductual-fauna,138,125,113,2025-08-02,2026-08-02,true
https://www.celebios.com/nutricion2024,135,117,93,2025-08-02,2026-08-02,true
https://www.celebios.com/galeria-1,131,124,117,2025-08-02,2026-08-02,true
https://www.celebios.com/nosotros,85,75,70,2025-08-02,2026-08-02,true
https://www.celebios.com/contacto,70,68,68,2025-08-02,2026-08-02,true
https://www.celebios.com/rehabilitacion,55,49,44,2025-08-02,2026-08-02,true
https://www.celebios.com/imagenologia-caballos-2020,36,35,33,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-aves,31,27,24,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos,30,29,26,2025-08-02,2026-08-02,true
https://www.celebios.com/imagenfauna2023,24,21,19,2025-08-02,2026-08-02,true
https://www.celebios.com/nutricion-2021,21,19,17,2025-08-02,2026-08-02,true
https://www.celebios.com/manejo-conductual-2022,18,15,15,2025-08-02,2026-08-02,true
https://www.celebios.com/aviso-de-privacidad,17,17,17,2025-08-02,2026-08-02,true
https://www.celebios.com/amandanatashaeliopulosnaya,16,12,12,2025-08-02,2026-08-02,true
https://www.celebios.com/gustavoagonzalezpadilla,15,13,11,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-aves-2021,15,13,12,2025-08-02,2026-08-02,true
https://www.celebios.com/nutricion2019,14,14,12,2025-08-02,2026-08-02,true
https://www.celebios.com/medicina-preventiva,13,13,13,2025-08-02,2026-08-02,true
https://www.celebios.com/leeman-suastegui-fauna,13,10,9,2025-08-02,2026-08-02,true
https://www.celebios.com/fernandodlopezhernandez,13,12,12,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-vazquez-machorro,11,8,8,2025-08-02,2026-08-02,true
https://www.celebios.com/euniceguzmanescalante,11,11,10,2025-08-02,2026-08-02,true
https://www.celebios.com/aves-2022,10,10,10,2025-08-02,2026-08-02,true
https://www.celebios.com/gen2019rehabilitacionfauna,10,9,9,2025-08-02,2026-08-02,true
https://www.celebios.com/guillermoevantuyllmolina,10,8,6,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-espinola-alcantara,9,8,8,2025-08-02,2026-08-02,true
https://www.celebios.com/tapia-colin-fauna,9,8,8,2025-08-02,2026-08-02,true
https://www.celebios.com/nogueira-marmolejo-fauna,8,7,6,2025-08-02,2026-08-02,true
https://www.celebios.com/jesusan-mauricio-pisco,8,8,8,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-domesticos-silvestres-2020,8,7,7,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-ontiveros-evangelista,7,7,4,2025-08-02,2026-08-02,true
https://www.celebios.com/elsyangelicacabrerabaz,7,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/bioetica,7,7,6,2025-08-02,2026-08-02,true
https://www.celebios.com/medicina-interna,7,7,6,2025-08-02,2026-08-02,true
https://www.celebios.com/paulinaachavezcontreras,7,7,7,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-domesticos-silvestres-2022,7,7,6,2025-08-02,2026-08-02,true
https://www.celebios.com/karinaamesamesa,6,4,3,2025-08-02,2026-08-02,true
https://www.celebios.com/anestesia-fauna-2020,6,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/valeriadasilvasena,6,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/miguelahernandezrodriguez,6,6,6,2025-08-02,2026-08-02,true
https://www.celebios.com/rehabilitacion2021,6,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/gen2018felidos,5,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-reinoso-echavarria,5,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/raulcuatrecasasabad,5,4,4,2025-08-02,2026-08-02,true
https://www.celebios.com/brenda-lozano-chavez,5,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-lopez-hernandez,5,5,5,2025-08-02,2026-08-02,true
https://www.celebios.com/sanchez-cervantes-fauna,5,3,2,2025-08-02,2026-08-02,true
https://www.celebios.com/ortega-castelazo-12016,4,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/joseluisflanaganborquez,4,4,3,2025-08-02,2026-08-02,true
https://www.celebios.com/meneses-lavalley-2017,4,4,4,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-bello-ahued,4,4,4,2025-08-02,2026-08-02,true
https://www.celebios.com/reyes-cortes,4,4,4,2025-08-02,2026-08-02,true
https://www.celebios.com/emmacarolinapachecomeneses,4,4,4,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-tirado-perez,4,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-diez-tascon,4,4,4,2025-08-02,2026-08-02,true
https://www.celebios.com/robles-espindola,3,3,2,2025-08-02,2026-08-02,true
https://www.celebios.com/quetzeri-santiago-2016,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/shadycherediasantos,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/lilianasuarezramirez,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-machuca-esquivel,3,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/marisolrodriguezgonzalez,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/convoc-anestesia-fauna,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/monroy-olvera-2016,3,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/isaacaramosramirez,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/rubensaavedraperez,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/erikbaezjoe,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/espinola-alcantara-2016,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/montserratmonterrosales,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/carmencallejogarcia,3,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/zulmaasotoguerrero,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/espinola-alcantara,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/mejia-garcia-2017,3,3,3,2025-08-02,2026-08-02,true
https://www.celebios.com/laguna-pastrana,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/alexandraelizabethlaraperez,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/itzaelatirjesselsolis,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-alanis-lopez,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/lorenaandresserradilla,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/moyano-devia-fauna,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/melesio-navarro-2017,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/campos-manzanares-2016,2,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/joselynmmorarodriguez,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/gutierrez-lopez-2017,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/reinoso-echavarria-2016,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/sordo-doporto-2016,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-silva-lopez,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/inscripcion,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-siede-barrie,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/sanchez-cervantes,2,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/adrianaperealugo,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/danielatamaramirnereberl,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/valeriabgonzalezvelazquez,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-rodriguez-alarcon,2,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-solar-macuada,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-sotelo-wong,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/duarte-ubaldo,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/sarahzerbibpradere,2,2,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-alvarez-castro,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-ponce-arana,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/albertogvaldezflores,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/cynthiayaramidiazgonzalez,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/martinez-morven,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/seleneasiulbarbabedolla,2,2,2,2025-08-02,2026-08-02,true
https://www.celebios.com/solennproust,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-vela-verjel,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/keeper,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/garcia-zendejas-2017,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/carlososcarparraguirrediaz,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ocampo-soto-2016,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/fundamentos-sig-2021,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/robertofiorinitorrico,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/cesarfernandoechaidesortiz,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/jesusa-franco-galindo,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ignacioenriquepena,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ortopedia-rivera-jimenez,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/egresadosrehabilitacion2019,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/manuelacortezmartinez,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/denisse-rodriguez-diaz,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/gen2016fauna,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/copia-de-aula-promoción-aves-2022,1,1,1,2025-08-02,2026-08-02,false
https://www.celebios.com/erikacitlalinminoravila,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/inscripcion-codigoabierto,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-aguilar-mendez,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/salas-garcia,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/mentado-amigon-2017,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ortega-castelazo,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/egresadosanestesia2020,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/carla-bustios-mendoza,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-baldenegro-marquez,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/diagnostico-terapeutica-2020,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/galindo-castillo,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/felidos-garcia-cuevas,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/carolinajuarezmedina,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/joycemaradelpracachulo,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/larissaalexandrariverapliego,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/espinosa-leon-2016,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/rominarodriguezdiaz,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ortiz-cepeda,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/cartografia-web,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/gen2018faunadxtx,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/rosamariavgomezcarrillo,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/galindo-guerrero,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/chavez-curiel-2017,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/campos-manzanares-2017,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/suarez-gutierrez-2016,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/manejo-datos,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/itzelfuentesconde,1,1,1,2025-08-02,2026-08-02,true
https://www.celebios.com/ignacioarredondomarquez,1,1,1,2025-08-02,2026-08-02,true
